Code;;Groundedness;Density;Groups;Number of Groups;Comment;Creator;Creation Date;Modifier;Modification Date
;○ SOS button for friend-in-danger (proposed addition);1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ SOS button with three response options;2;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ spotted-creep map markers (red, with pictures);1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ stand-by/ambient drone mode;2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ structured survey-based safety rating;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ support-or-fine binary outcome;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ surveillance-of-surveillance (anti-misuse mechanism);1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ teacher-based content discovery;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ teleportation to female-only safe space (tea, calming, decision and mental support);3;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ threatening-person reporting in reviews;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ threshold-based escalation to authorities (10 reports);1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ tiered support options (peer, therapist, expert-by-experience);1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ unlimited hugs;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ user command-control over drone functions;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ user-chose return location;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ user-initiated perpetrator-mapping in scenario;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;"○ voice activation (""call word"")";1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ digital context as unsafe;;0;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ digital environment as unsafe;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ effect;;31;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ solution attracts attention;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ solution causes light pollution;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ solution deters threats;4;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution illuminates threats;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution improves felt safety;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ solution increases area activity;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ solution is reactive not preventative;3;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ solution is subtle;4;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ solution leads to low autonomy;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ solution produces false sense of safety;2;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ solution produces sustained engagement;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ solution produces visibility;4;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution provides phone alternative;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution reduces safety-preoccupation;1;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ solution requires high effort;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ solution shares location with others;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ Empowering;;2;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ Familiarity;;2;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ familiarity with people as safety;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ familiarity with place as safety;;4;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ feeling of safety;;1;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ framing;;323;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/16/2026
;○ accountability/evidence-based safety;11;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ agency aspiration;32;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ agency loss;5;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
;○ appearance as safety axis;5;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ definitional power critique;11;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ empowerment via marking/surveillance;23;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ epistemic safety;23;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ gendered nuance;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ idealised operating conditions;46;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ idealised user model;53;0;;0;Applied to assumption stickies that name a property the solution presumes its user has: physical, cognitive, social, emotional, or material capacity. Individual stickies may be thin, but accumulated groundings collectively map the implicit user-model of mainstream safety tech and solutions.;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ institutional trust;10;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ managing access;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ misuse-risk critique;5;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ peer/community trust;15;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ personal space;5;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ privacy-safety tradeoff;21;0;;0;Three surveillance modalities have surfaced in groundings: institutional, interpersonal, embodied. The specific modality is carried by the co-applied assumption: code rather than by framing sub-types;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ safety as behavioural change;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ safety as bodily/spatial control;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ safety as care;4;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ safety as deterrence;9;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ safety as felt sense;14;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ safety as interactional;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ safety as labour;20;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ safety as logistics;6;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ safety as perceived/constructed;10;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ safety as place-conditioned;4;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ safety as prevention vs response;11;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ safety as redundancy/backup;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ safety as relational/social;54;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ safety as shaming/social-punishment;9;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ safety as spatial/embodied;5;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ safety as threat-response;8;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ safety as tool-mediated;12;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ safety as universal entitlement;2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ safety via institutional/state authority;9;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ severity thresholds in safety;15;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ solution-induced unsafety;6;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ structural/systemic safety;4;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ surveillance behaviourism;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ visibility as environmental awareness;9;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ visibility as illumination;21;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ visibility as safety condition;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ visibility as social presence;7;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ visibility of solutions as signal;3;0;;0;;Kaylee Wu;5/21/2026;Kaylee Wu;5/21/2026
;○ women-only space;6;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ framing-articulation correspondence;;7;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ framing-design correspondence;;51;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ Freedom;;2;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ group configuration as threat;;3;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
○ Independence;;1;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ infrastructural dependency critique;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ infrastructural support as safety;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Interaction;;2;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ intersectional safety;;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Justice;;1;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ Logistics [Logistiek];;2;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ low visibility as unsafe condition;;1;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
○ male presence as safety;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ male presence as threat;;6;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
○ night as unsafe time;;8;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
○ not needing others as safety;;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Other;;0;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ participant stance;;76;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ explicitly endorsed;16;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ explicitly endorsed (conditional);2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ explicitly rejected;58;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ participant-named design tension;;7;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ personal space as boundary;;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Physical space;;2;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ powerless;;1;0;In vivo codes;1;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ Powerlessness;;3;0;In vivo codes;1;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
○ Presence of others;;3;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ presence of others as safety;;4;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
○ Privacy;;3;0;In vivo codes;1;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
○ privacy as safety;;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Proactiveness;;1;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ protective strategy;;12;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ appearance;4;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ interaction avoidance;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ location sharing;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ route-avoidance;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ proximity to others as safety condition;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Public transport;;1;0;In vivo codes;1;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ public transport as unsafe context;;4;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Racism;;3;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ racism as unsafe condition;;3;0;;0;WS3 grounding came from one participant based on field notes, not collective group consensus. Treat as individ ually-attributable when reading groundings.;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ rated;;26;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ actually makes me feel less safe;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ ambivalent placement;6;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ not really contributes;10;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ somewhat contributes;9;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ strongly contributes;7;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Reliability;;1;0;In vivo codes;1;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
○ safety as a feeling;;15;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
○ safety labour;;12;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Safety measures;;3;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Safety on my terms;;1;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ Shared responsibility;;1;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ Social safety [Sociale veiligheid];;2;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Social support;;3;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ solution;;143;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ blue light emergency poles;25;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ CCTV;25;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ increased street lighting;21;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ neighbourhood-watch WhatsApp group;27;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ smart safety jewellery;31;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ walking-home tracking app;17;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ spatial entrapment as unsafe condition;;2;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
○ spatial obstruction as unsafe;;2;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ speculative affordance;;10;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ stranger access as unsafe;;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ substance-altered presence as unsafe;;4;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Subtle;;1;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ targeted aggression as unsafe;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ The Angel Drone;;1;0;In vivo codes;1;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ theme emerged via critique;;7;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Threats;;3;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Uncertainty;;4;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ unpredictability as unsafe condition;;7;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ unseen approach as unsafe;;4;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ unwanted access as unsafe;;3;0;;0;includes non-verbal/minimal contact per WS4;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ User-responsibility;;1;0;In vivo codes;1;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
○ value;;52;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ accessibility;3;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ accessibility (low-threshold for help-seeking);4;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ accessibility (to help);1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ accessibility (to information/tools);1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ accountability/justice;4;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ actionable institutional partnership;2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ agency/empowerment;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ autonomy;11;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ awareness/situational knowledge;3;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ being seen and respected;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ being taken seriously;2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ being-yourself;2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ bodily autonomy;2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ collective autonomy;2;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ comfort;5;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ community/collective care;5;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ control;8;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ education;4;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ empowering (aesthetically marked);1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ equality;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ freedom from constraint;7;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ freedom of expression;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ implicit safety;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ individual aesthetic expression;2;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ information/empowerment-through-knowledge;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ multi-dimensional safety;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ privacy;2;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ proactiveness;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ protection (state-provided);1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ removal of vigilance burden;5;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ self-defense capability;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ self-determination;1;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ shared responsibility;3;0;;0;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
;○ women supporting women;5;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ women-only/female-identifying community;3;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ vibe of the day;;1;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ Visibility;;5;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Visibility [Zichtbaarheid];;2;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Women Empowerment;;1;0;In vivo codes;1;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026